"Story","Title","Result","Date","Stability","Duration (s)"
"Add student story","Opens add student page types invalid data clicks submit button should see error message","ERROR","2019-05-15T03:15:24.165+03:00[Europe/Athens]","0.0","1.24"
"Add student story","Opens add student page types valid data clicks submit button should see added message","ERROR","2019-05-15T03:15:26.046+03:00[Europe/Athens]","0.0","0.56"
